DATE,CE16OV
2018-01-01,154495
2018-02-01,155174
2018-03-01,155266
2018-04-01,155363
2018-05-01,155688
2018-06-01,155768
2018-07-01,156186
2018-08-01,155567
2018-09-01,155948
2018-10-01,156306
2018-11-01,156598
2018-12-01,156745
2019-01-01,156625
2019-02-01,156904
2019-03-01,156809
2019-04-01,156741
2019-05-01,156883
2019-06-01,157131
2019-07-01,157617
2019-08-01,157861
2019-09-01,158230
2019-10-01,158356
2019-11-01,158540
2019-12-01,158735
2020-01-01,158659
2020-02-01,158732
2020-03-01,155536
2020-04-01,133370
2020-05-01,137224
2020-06-01,142100
2020-07-01,143777
2020-08-01,147276
2020-09-01,147543
2020-10-01,149669
2020-11-01,149809
2020-12-01,149830
2021-01-01,150031
2021-02-01,150239
2021-03-01,150848
2021-04-01,151176
2021-05-01,151620
2021-06-01,151602
2021-07-01,152645
2021-08-01,153154
2021-09-01,153680
