DATE,LNS14032183
2018-01-01,3.0
2018-02-01,2.9
2018-03-01,3.1
2018-04-01,2.9
2018-05-01,2.2
2018-06-01,3.3
2018-07-01,3.1
2018-08-01,2.9
2018-09-01,3.5
2018-10-01,3.1
2018-11-01,2.8
2018-12-01,3.3
2019-01-01,3.0
2019-02-01,3.1
2019-03-01,3.1
2019-04-01,2.3
2019-05-01,2.5
2019-06-01,2.2
2019-07-01,2.8
2019-08-01,2.8
2019-09-01,2.5
2019-10-01,2.9
2019-11-01,2.6
2019-12-01,2.6
2020-01-01,3.1
2020-02-01,2.4
2020-03-01,4.1
2020-04-01,14.5
2020-05-01,14.9
2020-06-01,13.9
2020-07-01,11.9
2020-08-01,10.6
2020-09-01,8.8
2020-10-01,7.6
2020-11-01,6.7
2020-12-01,5.9
2021-01-01,6.6
2021-02-01,5.1
2021-03-01,6.0
2021-04-01,5.7
2021-05-01,5.5
2021-06-01,5.8
2021-07-01,5.3
2021-08-01,4.6
2021-09-01,4.2
